region,block,slot,observation,bank,cycles
0,5,2,13,13,12638
0,5,2,14,14,12418
0,5,2,15,15,12426
0,5,2,16,0,12329
0,5,2,17,1,12350
0,5,2,18,2,12367
0,5,2,19,3,12444
0,5,2,20,4,12512
0,5,2,21,5,12403
0,5,2,22,6,12431
0,5,2,23,7,12460
0,5,2,24,8,12648
0,5,2,25,9,12443
0,5,2,26,10,12451
0,5,2,27,11,12577
0,5,2,28,12,12471
0,5,2,29,13,12523
0,5,2,30,14,12491
0,5,2,31,15,12517
0,5,3,0,0,12293
0,5,3,1,1,12254
0,5,3,2,2,12371
0,5,3,3,3,12261
0,5,3,4,4,12386
0,5,3,5,5,12386
0,5,3,6,6,12344
0,5,3,7,7,12319
0,5,3,8,8,12305
0,5,3,9,9,12336
0,5,3,10,10,12386
0,5,3,11,11,12331
0,5,3,12,12,12439
0,5,3,13,13,12318
0,5,3,14,14,12370
0,5,3,15,15,12472
0,5,3,16,0,12417
0,5,3,17,1,12472
0,5,3,18,2,12402
0,5,3,19,3,12310
0,5,3,20,4,12356
0,5,3,21,5,12295
0,5,3,22,6,12278
0,5,3,23,7,12346
0,5,3,24,8,12321
0,5,3,25,9,12271
0,5,3,26,10,12264
0,5,3,27,11,12410
0,5,3,28,12,12417
0,5,3,29,13,12462
0,5,3,30,14,12445
0,5,3,31,15,12422
0,6,0,0,0,12449
0,6,0,1,1,12361
0,6,0,2,2,12306
0,6,0,3,3,12406
0,6,0,4,4,12355
0,6,0,5,5,12457
0,6,0,6,6,12322
0,6,0,7,7,12371
0,6,0,8,8,12315
0,6,0,9,9,12305
0,6,0,10,10,12415
0,6,0,11,11,12492
0,6,0,12,12,12385
0,6,0,13,13,12373
0,6,0,14,14,12359
0,6,0,15,15,12492
0,6,0,16,0,12304
0,6,0,17,1,12332
0,6,0,18,2,12460
0,6,0,19,3,12475
0,6,0,20,4,12452
0,6,0,21,5,12426
0,6,0,22,6,12333
0,6,0,23,7,12339
0,6,0,24,8,12339
0,6,0,25,9,12384
0,6,0,26,10,13069
0,6,0,27,11,12350
0,6,0,28,12,12374
0,6,0,29,13,12265
0,6,0,30,14,12368
0,6,0,31,15,12357
0,6,1,0,0,12233
0,6,1,1,1,12300
0,6,1,2,2,12299
0,6,1,3,3,12355
0,6,1,4,4,12367
0,6,1,5,5,12280
0,6,1,6,6,12330
0,6,1,7,7,12352
0,6,1,8,8,12376
0,6,1,9,9,12300
0,6,1,10,10,12326
0,6,1,11,11,12302
0,6,1,12,12,12445
0,6,1,13,13,12323
0,6,1,14,14,12292
0,6,1,15,15,12293
0,6,1,16,0,12279
0,6,1,17,1,12253
0,6,1,18,2,12270
0,6,1,19,3,12253
0,6,1,20,4,12378
0,6,1,21,5,12261
0,6,1,22,6,12290
