phase,branch,quartic_lane,vector_group,register,register_lane,physical_pos,branch_pos,block_k,twist_index,input_n3,input_n32,dft_output_k3,ntt32_stage,ntt32_len,ntt32_work_index,ntt32_input_k32,ntt32_role,pair_lo_index,pair_hi_index,twiddle_power,twiddle_mont,twiddle_normal,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,notes
dft3_output_pack,0,0,1,v6,3,-1,-1,-1,-1,-1,11,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,300,172,44,75,43,11,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,4,-1,-1,-1,-1,-1,12,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,48,304,176,12,76,44,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,5,-1,-1,-1,-1,-1,13,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,180,52,308,45,13,77,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,6,-1,-1,-1,-1,-1,14,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,312,184,56,78,46,14,linear_combination_of_three_input_crt_sources
dft3_output_pack,0,0,1,v6,7,-1,-1,-1,-1,-1,15,2,-1,-1,-1,-1,dft_output,-1,-1,0,-147,1,60,316,188,15,79,47,linear_combination_of_three_input_crt_sources
input_crt_pack,0,0,2,v4,0,192,192,48,48,0,16,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,1,324,324,81,81,0,17,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,2,72,72,18,18,0,18,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,3,204,204,51,51,0,19,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,4,336,336,84,84,0,20,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,5,84,84,21,21,0,21,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,6,216,216,54,54,0,22,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v4,7,348,348,87,87,0,23,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,0,64,64,16,16,1,16,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,1,196,196,49,49,1,17,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,2,328,328,82,82,1,18,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,3,76,76,19,19,1,19,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
input_crt_pack,0,0,2,v5,4,208,208,52,52,1,20,-1,-1,-1,-1,-1,source,-1,-1,0,-147,1,-1,-1,-1,-1,-1,-1,physical_source_then_twist_by_twist_index
