region,variant,block,slot,cycles
3,1,21,5,1118
3,2,21,6,1128
3,3,21,7,1166
3,0,22,0,1153
3,1,22,1,1103
3,2,22,2,1115
3,3,22,3,1146
3,3,22,4,1148
3,2,22,5,1119
3,1,22,6,1129
3,0,22,7,1173
3,3,23,0,1149
3,2,23,1,1111
3,1,23,2,1156
3,0,23,3,1155
3,0,23,4,1165
3,1,23,5,1100
3,2,23,6,1071
3,3,23,7,1151
3,0,24,0,1167
3,1,24,1,1126
3,2,24,2,1110
3,3,24,3,1164
3,3,24,4,1168
3,2,24,5,1122
3,1,24,6,1115
3,0,24,7,1163
3,3,25,0,1147
3,2,25,1,1131
3,1,25,2,1104
3,0,25,3,1180
3,0,25,4,1159
3,1,25,5,1101
3,2,25,6,1113
3,3,25,7,1159
3,0,26,0,1152
3,1,26,1,1138
3,2,26,2,1096
3,3,26,3,1157
3,3,26,4,1158
3,2,26,5,1148
3,1,26,6,1112
3,0,26,7,1171
3,3,27,0,1162
3,2,27,1,1101
3,1,27,2,1101
3,0,27,3,1161
3,0,27,4,1180
3,1,27,5,1140
3,2,27,6,1117
3,3,27,7,1155
3,0,28,0,1150
3,1,28,1,1116
3,2,28,2,1094
3,3,28,3,1197
3,3,28,4,1198
3,2,28,5,1102
3,1,28,6,1116
3,0,28,7,1165
3,3,29,0,1169
3,2,29,1,1112
3,1,29,2,1132
3,0,29,3,1217
3,0,29,4,1205
3,1,29,5,1141
3,2,29,6,1088
3,3,29,7,1155
3,0,30,0,1174
3,1,30,1,1118
3,2,30,2,1128
3,3,30,3,1191
3,3,30,4,1185
3,2,30,5,1118
3,1,30,6,1115
3,0,30,7,1155
3,3,31,0,1186
3,2,31,1,1123
3,1,31,2,1115
3,0,31,3,1178
3,0,31,4,1170
3,1,31,5,1115
3,2,31,6,1113
3,3,31,7,1161
4,0,0,0,3389
4,1,0,1,3661
4,2,0,2,3455
4,3,0,3,3038
4,3,0,4,2905
4,2,0,5,3358
4,1,0,6,3278
4,0,0,7,3017
4,3,1,0,2929
4,2,1,1,3348
4,1,1,2,3266
4,0,1,3,2957
4,0,1,4,2942
4,1,1,5,3325
4,2,1,6,3438
4,3,1,7,2889
4,0,2,0,2972
4,1,2,1,3405
4,2,2,2,3380
4,3,2,3,2935
4,3,2,4,2888
4,2,2,5,3410
4,1,2,6,3285
4,0,2,7,2973
4,3,3,0,2861
4,2,3,1,3394
4,1,3,2,3346
4,0,3,3,2970
4,0,3,4,2987
4,1,3,5,3302
4,2,3,6,3403
4,3,3,7,2942
4,0,4,0,2981
4,1,4,1,3301
4,2,4,2,3388
4,3,4,3,2935
4,3,4,4,2900
4,2,4,5,3381
4,1,4,6,3382
4,0,4,7,2963
4,3,5,0,2878
4,2,5,1,3425
4,1,5,2,3368
4,0,5,3,2939
4,0,5,4,3000
4,1,5,5,3286
4,2,5,6,3354
4,3,5,7,2922
4,0,6,0,2937
4,1,6,1,3334
4,2,6,2,3411
4,3,6,3,2895
4,3,6,4,2868
4,2,6,5,3330
4,1,6,6,3265
4,0,6,7,2994
4,3,7,0,2891
4,2,7,1,3327
4,1,7,2,3320
4,0,7,3,2968
4,0,7,4,2941
4,1,7,5,3358
4,2,7,6,3311
4,3,7,7,2966
4,0,8,0,2966
4,1,8,1,3323
4,2,8,2,3415
4,3,8,3,2895
4,3,8,4,2912
