region,block,slot,observation,bank,cycles
0,6,2,22,6,12375
0,6,2,23,7,12343
0,6,2,24,8,12252
0,6,2,25,9,12492
0,6,2,26,10,12438
0,6,2,27,11,12329
0,6,2,28,12,12313
0,6,2,29,13,12372
0,6,2,30,14,12353
0,6,2,31,15,12431
0,6,3,0,0,12387
0,6,3,1,1,12354
0,6,3,2,2,12361
0,6,3,3,3,12403
0,6,3,4,4,12307
0,6,3,5,5,12502
0,6,3,6,6,12316
0,6,3,7,7,12354
0,6,3,8,8,12391
0,6,3,9,9,12285
0,6,3,10,10,12351
0,6,3,11,11,12327
0,6,3,12,12,12304
0,6,3,13,13,12448
0,6,3,14,14,12309
0,6,3,15,15,12332
0,6,3,16,0,12359
0,6,3,17,1,12459
0,6,3,18,2,12504
0,6,3,19,3,12342
0,6,3,20,4,12367
0,6,3,21,5,12343
0,6,3,22,6,12452
0,6,3,23,7,12368
0,6,3,24,8,12286
0,6,3,25,9,12333
0,6,3,26,10,12302
0,6,3,27,11,12300
0,6,3,28,12,12462
0,6,3,29,13,12342
0,6,3,30,14,12273
0,6,3,31,15,12296
0,7,0,0,0,12305
0,7,0,1,1,12319
0,7,0,2,2,12208
0,7,0,3,3,12333
0,7,0,4,4,12476
0,7,0,5,5,12339
0,7,0,6,6,12235
0,7,0,7,7,12351
0,7,0,8,8,12370
0,7,0,9,9,12281
0,7,0,10,10,12253
0,7,0,11,11,12342
0,7,0,12,12,12283
0,7,0,13,13,12277
0,7,0,14,14,12300
0,7,0,15,15,12308
0,7,0,16,0,12423
0,7,0,17,1,12291
0,7,0,18,2,12280
0,7,0,19,3,12331
0,7,0,20,4,12340
0,7,0,21,5,12283
0,7,0,22,6,12301
0,7,0,23,7,12279
0,7,0,24,8,12289
0,7,0,25,9,12311
0,7,0,26,10,12274
0,7,0,27,11,12230
0,7,0,28,12,12341
0,7,0,29,13,12245
0,7,0,30,14,12323
0,7,0,31,15,12302
0,7,1,0,0,12287
0,7,1,1,1,12335
0,7,1,2,2,12349
0,7,1,3,3,12523
0,7,1,4,4,12400
0,7,1,5,5,12341
0,7,1,6,6,12385
0,7,1,7,7,12393
0,7,1,8,8,12347
0,7,1,9,9,12366
0,7,1,10,10,12425
0,7,1,11,11,12403
0,7,1,12,12,12397
0,7,1,13,13,12355
0,7,1,14,14,12283
0,7,1,15,15,12395
0,7,1,16,0,12344
0,7,1,17,1,12337
0,7,1,18,2,12461
0,7,1,19,3,12313
0,7,1,20,4,12482
0,7,1,21,5,12328
0,7,1,22,6,12352
0,7,1,23,7,12275
0,7,1,24,8,12367
0,7,1,25,9,12326
0,7,1,26,10,12342
0,7,1,27,11,12348
0,7,1,28,12,12368
0,7,1,29,13,12317
0,7,1,30,14,12382
0,7,1,31,15,12359
0,7,2,0,0,12342
0,7,2,1,1,12345
0,7,2,2,2,12256
0,7,2,3,3,12343
0,7,2,4,4,12402
0,7,2,5,5,12395
0,7,2,6,6,12370
0,7,2,7,7,12262
0,7,2,8,8,12416
0,7,2,9,9,12358
0,7,2,10,10,12392
0,7,2,11,11,12305
0,7,2,12,12,12385
0,7,2,13,13,12385
0,7,2,14,14,12363
0,7,2,15,15,12316
0,7,2,16,0,12230
0,7,2,17,1,12456
0,7,2,18,2,12370
0,7,2,19,3,12344
0,7,2,20,4,12302
0,7,2,21,5,12313
0,7,2,22,6,12403
0,7,2,23,7,12356
0,7,2,24,8,12403
0,7,2,25,9,12316
0,7,2,26,10,12426
0,7,2,27,11,12342
0,7,2,28,12,12351
0,7,2,29,13,12292
0,7,2,30,14,12310
0,7,2,31,15,12440
0,7,3,0,0,12240
0,7,3,1,1,12296
0,7,3,2,2,12322
0,7,3,3,3,12298
0,7,3,4,4,12398
0,7,3,5,5,12281
0,7,3,6,6,12354
0,7,3,7,7,12301
0,7,3,8,8,12309
0,7,3,9,9,12327
0,7,3,10,10,12338
0,7,3,11,11,12266
0,7,3,12,12,12285
0,7,3,13,13,12273
0,7,3,14,14,12300
0,7,3,15,15,12201
0,7,3,16,0,12325
0,7,3,17,1,12236
0,7,3,18,2,12312
0,7,3,19,3,12290
0,7,3,20,4,12353
0,7,3,21,5,12302
0,7,3,22,6,12281
0,7,3,23,7,12398
0,7,3,24,8,12311
0,7,3,25,9,12303
0,7,3,26,10,12304
0,7,3,27,11,12341
0,7,3,28,12,12338
0,7,3,29,13,12263
0,7,3,30,14,12359
0,7,3,31,15,12390
1,0,0,0,0,28480
1,0,0,1,1,28129
1,0,0,2,2,28325
1,0,0,3,3,28343
1,0,0,4,4,28249
1,0,0,5,5,28250
1,0,0,6,6,28110
1,0,0,7,7,28266
1,0,0,8,8,28316
1,0,0,9,9,28178
1,0,0,10,10,28227
1,0,0,11,11,28047
1,0,0,12,12,28003
1,0,0,13,13,28362
1,0,0,14,14,28317
1,0,0,15,15,28250
1,0,0,16,0,28345
1,0,0,17,1,28258
1,0,0,18,2,28294
1,0,0,19,3,28386
1,0,0,20,4,28329
1,0,0,21,5,28382
1,0,0,22,6,28330
1,0,0,23,7,28176
1,0,0,24,8,28360
1,0,0,25,9,28206
1,0,0,26,10,28236
1,0,0,27,11,28272
1,0,0,28,12,28044
1,0,0,29,13,28283
1,0,0,30,14,28282
1,0,0,31,15,28437
1,0,1,0,0,28190
1,0,1,1,1,28229
1,0,1,2,2,28233
1,0,1,3,3,28088
1,0,1,4,4,28282
1,0,1,5,5,28159
1,0,1,6,6,28148
1,0,1,7,7,28282
1,0,1,8,8,28295
1,0,1,9,9,28184
1,0,1,10,10,28187
1,0,1,11,11,28935
1,0,1,12,12,28053
1,0,1,13,13,28250
